repeat,fold,model,sidx,object,liq_label,n_liq_observed,risk_prob_pred,traj_rmse,traj_rmse_continuation,coverage90,nliq_log_err,physics_violation,interval_width,onset_timing_bias_cyc
0,0,DPI-Flow,23,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99898595,0.0306357704102993,0.03140585497021675,1.0,0.22905827,0.0,0.15745748579502106,77.99679565429688
0,0,DPI-Flow,24,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99985665,0.322171688079834,0.2890518009662628,1.0,0.074001074,0.0,1.753185510635376,0.9985027313232422
0,0,DPI-Flow,25,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.999118,0.027003515511751175,0.02550450712442398,1.0,0.49373436,0.0,0.16945795714855194,41.497535705566406
0,0,DPI-Flow,26,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99981594,0.0468481220304966,0.03638732433319092,1.0,0.2578802,0.0,0.1712881177663803,33.831146240234375
0,0,DPI-Flow,27,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99556684,0.03285341337323189,0.03221431374549866,0.8888889,0.5264816,0.0,0.1576402485370636,102.55889892578125
0,0,DPI-Flow,28,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99563515,0.043773502111434937,0.03702729940414429,0.7638889,0.6294694,0.0,0.15287372469902039,167.43344116210938
0,0,DPI-Flow,29,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9989631,0.02204476296901703,0.020201701670885086,1.0,0.26543236,0.0,0.1555703580379486,81.47064208984375
0,0,DPI-Flow,30,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99967057,0.3612918257713318,0.35107818245887756,1.0,0.1670239,0.0,2.074474334716797,1.999608039855957
0,0,DPI-Flow,31,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9999018,0.06665439903736115,0.04850203916430473,0.9861111,0.72987294,0.0,0.17834992706775665,50.516387939453125
0,0,DPI-Flow,32,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9983052,0.04647934436798096,0.04393136128783226,0.9722222,0.5074372,0.0,0.16174444556236267,56.18745422363281
0,0,DPI-Flow,33,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9996247,0.05295070633292198,0.0543043278157711,0.6388889,0.8793535,0.0,0.16054150462150574,174.75833129882812
0,0,DPI-Flow,34,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99954706,0.03492213785648346,0.03593282774090767,1.0,0.8126974,0.0,0.1562706083059311,195.62091064453125
0,0,DPI-Flow,35,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9952914,0.049127575010061264,0.04352867230772972,0.7638889,0.5682759,0.0,0.15124350786209106,155.3399658203125
0,0,DPI-Flow,36,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9998319,0.3129522204399109,0.28562697768211365,1.0,0.26222134,0.0,1.4469542503356934,2.9981422424316406
0,0,DPI-Flow,37,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99993557,0.04461360350251198,0.03941008821129799,1.0,0.15749359,1.0,0.20548200607299805,10.234397888183594
0,0,DPI-Flow,38,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9992537,0.04029296338558197,0.03276361897587776,1.0,0.17544031,0.0,0.16682793200016022,22.437210083007812
0,0,DPI-Flow,39,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99669695,0.04056480526924133,0.04276018217206001,0.7638889,0.69345474,0.0,0.15305259823799133,151.09283447265625
0,0,DPI-Flow,40,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9872156,0.024614939466118813,0.017735593020915985,1.0,0.12057686,0.0,0.1528216302394867,32.54949951171875
0,0,DPI-Flow,41,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.93434614,0.059757981449365616,0.0480734184384346,0.7638889,0.5744462,0.0,0.1573902666568756,165.31930541992188
0,0,DPI-Flow,42,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9998894,0.3963838219642639,0.4012438654899597,1.0,0.53898036,0.0,1.7405624389648438,4.999805450439453
0,0,DPI-Flow,43,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.98922527,0.08022503554821014,0.08003225177526474,0.6805556,0.6263869,0.0,0.18003784120082855,45.283607482910156
0,0,DPI-Flow,44,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.97470224,0.04110085219144821,0.037417832762002945,0.9861111,0.45969963,0.0,0.1710115224123001,58.359832763671875
0,0,DPI-Flow,45,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9067851,0.01938045211136341,0.01842721924185753,1.0,0.43433142,0.0,0.16123008728027344,85.39707946777344
0,0,DPI-Flow,46,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9852609,0.0450519435107708,0.04494599252939224,0.7638889,0.78193426,0.0,0.15979181230068207,233.58203125
0,0,DPI-Flow,47,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.96280134,0.05425822734832764,0.048722852021455765,0.7638889,0.7115388,0.0,0.1579660028219223,243.72412109375
0,0,DPI-Flow,48,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9999007,0.4356643855571747,0.42642465233802795,1.0,0.3566686,0.0,1.6294505596160889,2.999936103820801
0,0,DPI-Flow,49,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9973849,0.026447277516126633,0.01819472759962082,1.0,0.333117,0.0,0.17392498254776,25.695205688476562
0,0,DPI-Flow,50,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99663806,0.0494886077940464,0.04305066168308258,0.9861111,0.52309847,0.0,0.16046583652496338,76.28450012207031
0,0,DPI-Flow,51,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9949159,0.028559455648064613,0.023849759250879288,1.0,0.34041357,0.0,0.15625569224357605,61.23480224609375
0,0,DPI-Flow,52,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.7821991,0.04308541119098663,0.03949927166104317,0.8333333,0.33463573,0.0,0.16725601255893707,84.65292358398438
0,0,DPI-Flow,53,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.98880064,0.03904467448592186,0.03533731773495674,0.7638889,0.6996093,0.0,0.15058650076389313,181.32101440429688
0,0,DPI-Flow,54,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9998987,0.3680037260055542,0.35674458742141724,1.0,0.51079774,0.0,1.343313455581665,3.9997215270996094
0,0,DPI-Flow,55,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99691415,0.013456200249493122,0.011129266582429409,1.0,0.19742775,0.0,0.186385840177536,12.877647399902344
0,0,DPI-Flow,56,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.98254085,0.021168792620301247,0.013986920937895775,1.0,0.26626444,0.0,0.16901421546936035,32.94866943359375
0,0,DPI-Flow,57,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9997222,0.02977706864476204,0.018786102533340454,1.0,0.43446064,0.0,0.17221646010875702,79.98713684082031
0,0,DPI-Flow,58,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9950272,0.04086381942033768,0.03235951438546181,0.8194444,0.7635684,0.0,0.1570902168750763,210.84930419921875
0,0,DPI-Flow,59,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.98763645,0.052965179085731506,0.040455542504787445,0.7638889,0.7380519,0.0,0.15572087466716766,247.8514404296875
0,0,DPI-Flow,60,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9999293,0.33123981952667236,0.2984202206134796,1.0,0.48544478,0.0,1.3958097696304321,4.999180793762207
0,0,DPI-Flow,61,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9991921,0.03196091577410698,0.02668786607682705,1.0,0.5317011,0.0,0.21365168690681458,31.582122802734375
0,0,DPI-Flow,62,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9971813,0.016129903495311737,0.014769084751605988,1.0,0.61713314,0.0,0.1819174438714981,80.23902893066406
0,0,DPI-Flow,63,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9940788,0.02721189334988594,0.02565704844892025,1.0,0.7536683,0.0,0.16927053034305573,158.59402465820312
0,0,DPI-Flow,64,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9984988,0.013640673831105232,0.009212593547999859,1.0,0.38165426,0.0,0.17426688969135284,92.94113159179688
0,0,DPI-Flow,65,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9882736,0.06268148124217987,0.04179892688989639,0.7638889,0.7434044,0.0,0.16636496782302856,262.5336608886719
0,0,DPI-Flow,66,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9999662,0.3519563674926758,0.3392278552055359,1.0,0.24111533,0.0,1.369765043258667,2.9993467330932617
0,0,DPI-Flow,67,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.999916,0.017805153504014015,0.016036635264754295,1.0,0.27300596,0.0,0.21243755519390106,16.009315490722656
0,0,DPI-Flow,68,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9957612,0.05026168376207352,0.04886479303240776,0.7083333,0.2651105,0.0,0.16072072088718414,44.01837158203125
0,0,DPI-Flow,69,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99536204,0.018047820776700974,0.015455994755029678,1.0,0.14109993,0.0,0.16349737346172333,33.03570556640625
0,0,DPI-Flow,70,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9996956,0.013773186132311821,0.0066634612157940865,1.0,0.3229251,0.0,0.17334215342998505,102.53253173828125
0,0,DPI-Flow,71,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99963367,0.03650520369410515,0.036932364106178284,1.0,0.6479473,0.0,0.17221243679523468,159.5322265625
0,0,DPI-Flow,72,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9999713,0.3412051498889923,0.31450900435447693,1.0,0.3364408,0.0,1.348990559577942,3.9995603561401367
0,0,DPI-Flow,73,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9997212,0.02816872112452984,0.0146894920617342,1.0,0.6136055,0.0,0.18446050584316254,47.43640899658203
0,0,DPI-Flow,74,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9989171,0.02095644548535347,0.018692810088396072,1.0,0.23909855,0.0,0.1775694191455841,29.441329956054688
0,0,DPI-Flow,75,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99892753,0.019906826317310333,0.012659354135394096,1.0,0.2247138,0.0,0.1676960587501526,40.314300537109375
0,0,DPI-Flow,76,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99892455,0.03608179837465286,0.026835229247808456,0.9722222,0.7050643,0.0,0.16752833127975464,196.60354614257812
0,0,DPI-Flow,77,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9996794,0.03217790648341179,0.02008621022105217,1.0,0.22889948,0.0,0.17759473621845245,75.1070556640625
0,0,DPI-Flow,78,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9999415,0.35974979400634766,0.3396533131599426,1.0,0.48545408,0.0,1.3645581007003784,4.999301910400391
0,0,DPI-Flow,79,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9995609,0.04258269816637039,0.03967761993408203,1.0,0.38285303,0.0,0.214035302400589,20.990814208984375
0,0,DPI-Flow,80,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99928385,0.01674872450530529,0.013560106977820396,1.0,0.6915436,0.0,0.17732003331184387,89.71159362792969
0,0,DPI-Flow,81,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9914386,0.0361466184258461,0.030635636299848557,1.0,0.5811281,0.0,0.1732328087091446,114.26788330078125
0,0,DPI-Flow,82,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.99830985,0.028892558068037033,0.02222134917974472,1.0,0.070291996,0.0,0.17312312126159668,19.15203857421875
0,0,DPI-Flow,83,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9975282,0.05358613654971123,0.03763965144753456,0.7638889,0.81679773,0.0,0.16641084849834442,261.4908447265625
0,0,DPI-EVT,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,1.0,1.0,0.9900304,0.45328545570373535,0.4477333128452301,1.0,0.5108099,0.0,1.5925458669662476,3.9998435974121094
