repeat,fold,test_object,model,P3_Core,N_liq_logMAE,N_liq_logMAE_liq,Traj_RMSE,Traj_RMSE_continuation,Traj_RMSE_continuation_balanced,Traj_RMSE_continuation_worst,Traj_RMSE_worst,AUROC,AUPRC,Brier,ECE,Coverage_90,Calibration_Error,Traj_CRPS,Onset_EarlyWarning_Rate,Physics_Violation_Rate,CRR_RMSE,N_CRR_test,N_CRR_objects
0,0,,DPI-Flow,159.01271934566472,0.26701465249061584,0.344876766204834,0.11831240760766365,0.10853461569705865,0.10095702856779099,0.15285320580005646,0.14080606400966644,0.966969696969697,0.963693857292866,0.1117518445514373,0.11341243561248049,0.7796966433525085,0.11646698713302613,0.050627630540150674,0.07428571428571429,0.0,0.20930510759353638,72,1
0,0,,DPI-EVT,196.08873828112624,0.1757664680480957,0.22799423336982727,0.10275588952539522,0.09228664982308654,0.08597128714124362,0.11432541161775589,0.11914423853158951,0.9563636363636363,0.9616967584731558,0.12770212542988404,0.1275593114209874,0.8376879692077637,0.06011131207148235,0.044700252420175404,0.26857142857142857,0.0,0.15499860048294067,72,1
0,0,,EVT-NeuralSSM,192.0137398960218,0.18137843906879425,0.23518946766853333,0.10164188986774837,0.08994038712776342,0.08554970845580101,0.10061874985694885,0.11826620250940323,0.945952380952381,0.9457509378603128,0.1325791335049097,0.13740947437912518,0.845526397228241,0.052527832984924326,0.044899298325745546,0.32,0.0,0.2025628685951233,72,1
0,0,,PINN,100.0,0.37026822566986084,0.43930065631866455,0.19300519892442594,0.20770450202223137,0.21500062942504883,0.37500235438346863,0.3373638093471527,0.8537229437229437,0.8733913579623637,0.17093015338962306,0.18126985464694056,0.6780524849891663,0.20757499138514202,0.10489762106148534,0.5028571428571429,0.0,,0,0
0,0,,Transformer,137.41049184948963,0.373921275138855,0.427806556224823,0.07033810546671014,0.0784853106901837,0.07825051434338093,0.1508798897266388,0.13196906447410583,0.8529004329004329,0.8808265001022468,0.15576682841234343,0.16856092395388345,0.8647081255912781,0.04515252113342283,0.03351704764911605,0.5542857142857143,0.06514657980456026,,0,0
0,0,,Neural Spline Flow,102.50575308866283,0.6642698049545288,0.7599741816520691,0.15128535242749322,0.14477255369755182,0.13188541183869043,0.18164080381393433,0.171100452542305,0.9725974025974026,0.9806099620016838,0.08687616385625482,0.08641619520437835,0.7757456302642822,0.12390177249908448,0.07941831216270256,0.32,0.8534201954397395,,0,0
0,0,,GRU,40.74888949882053,2.633831024169922,3.1787750720977783,0.21538439263260897,0.21664288352837274,0.22779587159554163,0.3771199584007263,0.35560688376426697,0.847099567099567,0.8629791313962248,0.1683130060619282,0.10332146502958449,0.7427351474761963,0.14743817647298177,0.1200443447176701,0.005714285714285714,0.9739413680781759,,0,0
0,0,,TCN,81.81217976677394,0.6301715970039368,0.7475135922431946,0.1744279424477811,0.1897794724583276,0.19568743060032526,0.34262433648109436,0.303796648979187,0.8616017316017316,0.8742005892462703,0.16237690536056706,0.17463933892475278,0.704881489276886,0.18467584053675334,0.09033609745013374,0.4514285714285714,0.7687296416938111,,0,0
0,0,,CatBoost,,0.27661994099617004,0.32311514019966125,,,,,,0.9854545454545455,0.9905172293212263,0.048644160740107176,0.046126800950264696,,,,0.28,,,0,0
0,1,,DPI-Flow,327.37646071683105,0.24385589361190796,0.3701761066913605,0.08411854738553598,0.07285425127503298,0.07641950746377309,0.09929939359426498,0.09986735880374908,0.9976220672162334,0.99867676291687,0.020873465744090148,0.01895563799016019,0.7957409620285034,0.10059866110483806,0.029566973692630623,0.07894736842105263,0.00425531914893617,0.20583991706371307,96,1
0,1,,DPI-EVT,204.3643011682403,0.4763755202293396,0.32959094643592834,0.2163992835896333,0.21197027348664452,0.19724731892347336,0.32325446605682373,0.32492414116859436,0.9973050095117311,0.9984155745578402,0.011768781839031626,0.013831413315331683,0.9429206848144531,0.0473448355992635,0.09624171912266137,0.5592105263157895,0.0,0.1616264432668686,96,1
0,1,,EVT-NeuralSSM,423.4872199724814,0.1857149600982666,0.27667465806007385,0.07406358749762201,0.06269548065543278,0.06900681803623836,0.09603362530469894,0.08986492455005646,0.9973842739378567,0.9984617137167333,0.012394229719599477,0.01337411399891085,0.8327380418777466,0.06149000724156698,0.028006434246437464,0.47368421052631576,0.0,0.19895344972610474,96,1
0,1,,PINN,100.0,0.9937644004821777,1.4252560138702393,0.13804685074525888,0.13900994341733874,0.16214058796564737,0.21049562096595764,0.20323964953422546,0.9881896005072923,0.9936193446603843,0.10750073685243405,0.20025419846494147,0.7617763876914978,0.12573511203130086,0.07898060159359331,0.1118421052631579,0.0,,0,0
0,1,,Transformer,235.02315538533583,0.6415528059005737,0.8786738514900208,0.03730755671357038,0.040225224241339376,0.05101898623009523,0.07416345179080963,0.06806613504886627,0.9961160431198478,0.9978283534891683,0.0227599755345009,0.06271703791745166,0.9511422514915466,0.06118225256601969,0.020866602171241408,0.375,0.03404255319148936,,0,0
0,1,,Neural Spline Flow,172.82154748287095,0.7644785046577454,1.025987982749939,0.09002931753121712,0.08481199538777237,0.06426923349499702,0.10449612140655518,0.11049360036849976,0.9895370957514268,0.9940900411369065,0.0504222463772434,0.08766947788126926,0.6994406580924988,0.19550620317459108,0.051701760318413746,0.28289473684210525,0.9446808510638298,,0,0
0,1,,GRU,102.68255141927456,1.1908531188964844,1.428046464920044,0.09783627129808285,0.09397524854372702,0.12280056128899257,0.18168312311172485,0.1733524352312088,0.9623493975903614,0.980946657419592,0.09479346338349291,0.1613325408798583,0.917312502861023,0.028230806191762253,0.05274050269434667,0.05921052631578947,0.5234042553191489,,0,0
0,1,,TCN,101.59881357247433,1.0647934675216675,1.4387303590774536,0.11998948620519254,0.12121427598413188,0.14407371481259665,0.18919044733047485,0.18009033799171448,0.969007609384908,0.9842140181831767,0.10125972583206194,0.13643552990669902,0.8017386794090271,0.09174808661142986,0.06385265314012895,0.09868421052631579,0.8723404255319149,,0,0
0,1,,CatBoost,,0.20864105224609375,0.2164546251296997,,,,,,0.9977013316423589,0.9986224083462079,0.009117451830531987,0.013527506966381631,,,,0.5131578947368421,,,0,0
0,2,,DPI-Flow,199.92503979439155,0.462895005941391,0.462895005941391,0.10873797653725073,0.07887862425357818,0.07887862622737885,0.07887862622737885,0.19747574627399445,0.9889356397070282,0.9919089835355218,0.06463326742623368,0.07329255217157396,0.8884398937225342,0.029140329360961892,0.03682743181975731,0.0,0.0,0.2084553986787796,84,1
0,2,,DPI-EVT,279.66479609597224,0.23786261677742004,0.23786261677742004,0.09976362458645437,0.06661168046764991,0.06661167740821838,0.06661167740821838,0.19536198675632477,0.9722611812373383,0.9759942742565553,0.06927269007746824,0.0791212312049336,0.9464160203933716,0.05687516132990519,0.032355057211034655,0.26881720430107525,0.0,0.16002371907234192,84,1
0,2,,EVT-NeuralSSM,227.85899386558887,0.27397993206977844,0.27397993206977844,0.10546659538046199,0.07708026493523024,0.07708026468753815,0.07708026468753815,0.1846369504928589,0.9491974442886084,0.9509727405422866,0.11204123381077348,0.12399429540483303,0.815003514289856,0.07974935372670493,0.043128768613998086,0.27956989247311825,0.0,0.20642969012260437,84,1
0,2,,PINN,100.0,1.0134681463241577,1.0134681463241577,0.16795202105407148,0.16112430434450442,0.1611243039369583,0.1611243039369583,0.2917587161064148,0.8962131837307153,0.8934891003852998,0.11814265941103823,0.08158772825090974,0.8083274960517883,0.08097913662592571,0.088968358635366,0.46236559139784944,0.0,,0,0
0,2,,Transformer,183.7733858179633,0.8551886081695557,0.8551886081695557,0.04153276169679342,0.04460005704213646,0.04460005462169647,0.04460005462169647,0.04384126141667366,0.9513791491351098,0.9361559277512217,0.057376006085817194,0.0649374666635269,0.9627547264099121,0.07432654698689778,0.02216044020115321,0.23655913978494625,0.0,,0,0
0,2,,Neural Spline Flow,174.53072167354657,0.5646290183067322,0.5646290183067322,0.09067547950206348,0.08745638545867591,0.08745639026165009,0.08745639026165009,0.09083646535873413,0.9568334112513636,0.9571111376557371,0.0692110432470741,0.08511883135379097,0.5063246488571167,0.3838604072729746,0.05781095770177244,0.5483870967741935,0.5925925925925926,,0,0
