metric,model,ref,n,z,p_raw,median_diff,median_diff_lo,median_diff_hi,rank_biserial,p_holm,significant_0.05
traj_rmse_continuation,DPI-EVT,DPI-Flow,15,2.6978187126735578,0.006979642020358945,0.0020542831176296843,0.0,0.015470357363627257,0.8,0.04187785212215367,True
traj_rmse_continuation,EVT-NeuralSSM,DPI-Flow,15,2.4138377955500254,0.01578548062730678,0.01634220916277695,0.0,0.025997927877014805,0.7166666666666667,0.0789274031365339,False
traj_rmse_continuation,PINN,DPI-Flow,15,0.7667484762335375,0.4432309436631279,0.0,-0.0034801412588029088,0.029860554997582556,0.23333333333333334,1.0,False
traj_rmse_continuation,Transformer,DPI-Flow,15,-3.3793729137700357,0.0007266199565552078,-0.040146881292012465,-0.06563030201256863,-0.003132425819834063,-1.0,0.005086339695886455,True
traj_rmse_continuation,Neural Spline Flow,DPI-Flow,15,-0.08519427513705972,0.9321068120114657,0.0,-0.0037442192510371147,0.005710119969797596,-0.03333333333333333,1.0,False
traj_rmse_continuation,GRU,DPI-Flow,15,0.25558282541117916,0.7982730960676157,0.0,-0.010936893701956843,0.02482955176268279,0.08333333333333333,1.0,False
traj_rmse_continuation,TCN,DPI-Flow,15,1.3347103104806024,0.1819713075045628,0.0,-0.002549026348990284,0.05979967138230585,0.4,0.7278852300182512,False
nliq_log_err,DPI-EVT,DPI-Flow,16,0.28439822949726057,0.7761053476550046,-0.0001667419444444651,-0.0216215100014035,0.05793880252138364,0.08823529411764706,1.0,False
nliq_log_err,EVT-NeuralSSM,DPI-Flow,16,1.3185736094872988,0.18731183426328757,0.014074729758947357,-0.011293644290196053,0.20798242724032642,0.38235294117647056,0.5619355027898627,False
nliq_log_err,PINN,DPI-Flow,16,3.4903419074663793,0.000482492956844105,1.026514061532511,0.567572956769058,1.1703410924730158,1.0,0.00385994365475284,True
nliq_log_err,Transformer,DPI-Flow,16,3.4386331384668773,0.0005847565292411705,0.23679400576109308,0.15521769567485588,0.35125981692753616,0.9852941176470589,0.00385994365475284,True
nliq_log_err,Neural Spline Flow,DPI-Flow,16,3.4903419074663793,0.000482492956844105,0.4968620710827106,0.34089136689603167,0.6466455310144927,1.0,0.00385994365475284,True
nliq_log_err,GRU,DPI-Flow,16,3.4903419074663793,0.000482492956844105,1.0613528965145098,0.894899992736111,1.4318373461111111,1.0,0.00385994365475284,True
nliq_log_err,TCN,DPI-Flow,16,3.4903419074663793,0.000482492956844105,1.090389414022912,0.8473089755913978,1.7707897152543435,1.0,0.00385994365475284,True
nliq_log_err,CatBoost,DPI-Flow,16,0.4395245364957663,0.6602815688001296,0.01655322959291386,-0.0901377642446541,0.14661368314648776,0.1323529411764706,1.0,False
