tag,fold,ablation,N_liq_logMAE,N_liq_logMAE_liq,Traj_RMSE,Traj_RMSE_continuation,Traj_RMSE_late,Traj_RMSE_liq,Traj_RMSE_stab,Traj_RMSE_nostab,Traj_RMSE_balanced,Traj_RMSE_worst,AUPRC,AUROC,Brier,ECE,Coverage_90,Calibration_Error,Physics_Violation_Rate,Traj_CRPS
grouped,0,full,0.08460481464862823,0.15398074686527252,0.07005471086655898,0.07504323344079475,0.08909773081541061,0.03667627274990082,0.08636236935853958,0.30694228410720825,0.14332697540521622,0.30694228410720825,1.0,1.0,0.021641679108142853,0.024275743745998044,0.7778849601745605,0.11368825833002727,0.0,0.038538679339202006
grouped,0,wo_conformal,0.08460481464862823,0.15398074686527252,0.07005471086655898,0.07504323344079475,0.08909773081541061,0.03667627274990082,0.08636236935853958,0.30694228410720825,0.14332697540521622,0.30694228410720825,1.0,1.0,0.021641679108142853,0.024275743745998044,0.6560955047607422,0.23350817759831746,0.0,0.0397921730599574
grouped,0,gaussian_posterior,0.1387377679347992,0.2525027394294739,0.06872599247597065,0.0736539519444728,0.088068887591362,0.04154267534613609,0.0826292484998703,0.30567309260368347,0.14328167214989662,0.30567309260368347,0.9999009900990099,0.9998765432098765,0.006971442140638828,0.010192399121594527,0.6951646208763123,0.19769482612609865,0.0,0.03858372303497496
grouped,0,wo_ode,0.5796527862548828,1.0079425573349,0.07797571164071979,0.08639818494487164,0.10389303416013718,0.060104262083768845,0.08969015628099442,0.06356744468212128,0.07112062101562817,0.08969015628099442,1.0,1.0,0.0011227396316826344,0.011830448754419937,0.8483058214187622,0.04712608257929485,0.0,0.045558442342603554
grouped,0,blackbox_raw,0.3354257345199585,0.5758296251296997,0.06666752661334167,0.0746120678330836,0.09001806378364563,0.04086688533425331,0.08159729838371277,0.020986443385481834,0.04781687570114931,0.08159729838371277,1.0,1.0,3.15657707687933e-05,0.0005872100791044904,0.7534064650535583,0.1414626916249593,0.6428571428571429,0.039344643077580566
grouped,0,wo_monotone,0.08460481464862823,0.15398074686527252,0.07005471086655898,0.07504323344079475,0.08909773081541061,0.03667627274990082,0.08636236935853958,0.30694228410720825,0.14332697540521622,0.30694228410720825,1.0,1.0,0.021641679108142853,0.024275743745998044,0.7778849601745605,0.11368825833002727,0.0,0.038538679339202006
grouped,0,wo_risk_softauc,0.07849614322185516,0.14286299049854279,0.06199132779299876,0.06567862822848126,0.0787106454372406,0.036063384264707565,0.0745721384882927,0.31735146045684814,0.14266232773661613,0.31735146045684814,0.9993038609503209,0.9991358024691358,0.025687744840979576,0.02637585732334638,0.7409863471984863,0.15396319627761842,0.0,0.031457440757565576
grouped,0,wo_censored_nliq,0.07142338156700134,0.12999053299427032,0.06052887749059674,0.06401011997614037,0.07526927441358566,0.036957550793886185,0.07216551154851913,0.3066817820072174,0.13860161478320757,0.3066817820072174,1.0,1.0,0.0008880920941010118,0.0030421715936281343,0.7388158440589905,0.15987178484598796,0.0,0.03382819726466494
grouped,0,miss_vs,0.12546414136886597,0.22834472358226776,0.05585144110002235,0.0583017244534258,0.06897221505641937,0.0353650227189064,0.06569407135248184,0.309626966714859,0.13689535359541574,0.309626966714859,1.0,1.0,0.004038233309984207,0.007766368203328212,0.7587121725082397,0.1293641209602356,0.0,0.03053221263076215
grouped,0,miss_grainsize,0.06551225483417511,0.11923230439424515,0.06110428519280279,0.06478847695834339,0.07666333019733429,0.03591643273830414,0.07337284833192825,0.3120310604572296,0.14044011384248734,0.3120310604572296,1.0,1.0,2.1859157641301863e-05,0.00042911573700370133,0.69769686460495,0.19383616050084432,0.0,0.03478045746134809
