repeat,fold,test_object,model,P3_Core,N_liq_logMAE,N_liq_logMAE_liq,Traj_RMSE,Traj_RMSE_continuation,Traj_RMSE_continuation_balanced,Traj_RMSE_continuation_worst,Traj_RMSE_worst,AUROC,AUPRC,Brier,ECE,Coverage_90,Calibration_Error,Traj_CRPS,Onset_EarlyWarning_Rate,Physics_Violation_Rate,CRR_RMSE,N_CRR_test,N_CRR_objects
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,DPI-Flow,328.504916285822,0.49739813804626465,0.49739813804626465,0.08121853950648608,0.06691030330308857,0.06691030412912369,0.06691030412912369,0.08121854066848755,,,0.033082637935876846,0.04750841288339524,0.8923637866973877,0.009311850865681945,0.032346716558375475,0.0,0.011904761904761904,0.21743090450763702,84,1
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,DPI-EVT,403.7287502735045,0.2657434046268463,0.2657434046268463,0.0836294124861815,0.07149791823746107,0.07149791717529297,0.07149791717529297,0.08362941443920135,,,0.04608835652470589,0.050997329609734667,0.8363392353057861,0.0696981430053711,0.0349270005164575,0.27380952380952384,0.0,0.16330252587795258,84,1
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,EVT-NeuralSSM,612.2648918873663,0.24675707519054413,0.24675707519054413,0.0834341851434984,0.0680699180616555,0.06806991994380951,0.06806991994380951,0.08343418687582016,,,0.008109543472528458,0.019084560729208448,0.9458940625190735,0.03947300910949706,0.03233178629718214,0.35714285714285715,0.0,0.20599998533725739,84,1
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,PINN,100.0,1.4397573471069336,1.4397573471069336,0.2066214662550866,0.21620372873916574,0.2162037342786789,0.2162037342786789,0.2066214680671692,,,0.14809902012348175,0.2580562304882776,0.7308135032653809,0.1625607490539551,0.11087420147831151,0.09523809523809523,0.0,,0,0
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,Transformer,342.8087413293394,0.8499389886856079,0.8499389886856079,0.03167734899485786,0.034252265099884396,0.034252263605594635,0.034252263605594635,0.03167735040187836,,,0.022097596898674965,0.06435019629342215,0.9808135032653809,0.0911486268043518,0.01884213892903193,0.36904761904761907,0.0,,0,0
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,Neural Spline Flow,291.84788501164024,0.6602481007575989,0.6602481007575989,0.09706515235157001,0.07970720835140027,0.07970720529556274,0.07970720529556274,0.09706515073776245,,,0.02360025979578495,0.07354186404319037,0.4574059844017029,0.43833461205164587,0.06081911907773266,0.4523809523809524,0.8571428571428571,,0,0
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,GRU,212.66774376639756,1.0109162330627441,1.0109162330627441,0.05655079739652007,0.05724621002591525,0.05724620819091797,0.05724620819091797,0.05655079707503319,,,0.06686301529407501,0.17466578242324646,0.8896776437759399,0.01557943820953367,0.031133183631923838,0.21428571428571427,0.0,,0,0
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,TCN,126.52869591931342,1.2019954919815063,1.2019954919815063,0.14421829932360425,0.15735408397669695,0.15735408663749695,0.15735408663749695,0.1442182958126068,,,0.11708508431911469,0.21264008893853142,0.8257866501808167,0.0693783442179362,0.06329165532426834,0.35714285714285715,0.6785714285714286,,0,0
0,0,Новая папка (5) · Потенциал разжижения/132-26 Молодогвардейская 2 этап,CatBoost,,0.2508440613746643,0.2508440613746643,,,,,,,,5.660531314788386e-06,0.0014733076095581055,,,,0.2857142857142857,,,0,0
0,1,Новая папка (5) · Потенциал разжижения/25-26 Строгино 2.1 - Plaxis,DPI-Flow,160.73263586101228,0.5477625727653503,0.5477625727653503,0.07819394407390799,0.06405633469315557,0.06405633687973022,0.06405633687973022,0.07819394767284393,,,0.003411422483623028,0.013020911150508456,0.7990140914916992,0.09641870657602947,0.029153781717840187,0.0,0.0,0.20559930801391602,72,1
